label	name	phylum
Archaea__Euryarchaeota__Methanomicrobia__Methanocellales__Methanocellaceae__Methanocella__Methanocella_paludicola_SANAE--AP011532.1525044.1526513	Methanocella_paludicola_SANAE	Euryarchaeota
Archaea__Euryarchaeota__Methanomicrobia__Methanomicrobiales__Methanomicrobiaceae__Methanoculleus__Methanoculleus_marisnigri_JR1--CP000562.1822651.1824115	Methanoculleus_marisnigri_JR1	Euryarchaeota
Archaea__Euryarchaeota__Methanomicrobia__Methanosarcinales__Methanosaetaceae__Methanosaeta__Methanosaeta_concilii--X51423.206.1677	Methanosaeta_concilii	Euryarchaeota
Bacteria__Actinobacteria__Actinobacteria__Actinomycetales__Actinomycetaceae__Actinomyces__Actinomyces_bovis--X81061.1.1434	Actinomyces_bovis	Actinobacteria
Bacteria__Actinobacteria__Actinobacteria__Micrococcales__Microbacteriaceae__Microbacterium__Microbacterium_lacticum--X77441.1.1474	Microbacterium_lacticum	Actinobacteria
Bacteria__Actinobacteria__Actinobacteria__Micrococcales__Micrococcaceae__Yaniella__Yaniella_halotolerans--AY228479.1.1503	Yaniella_halotolerans	Actinobacteria
Bacteria__Actinobacteria__Actinobacteria__Micrococcales__Promicromonosporaceae__Isoptericola__Isoptericola_variabilis--AJ298873.1.1472	Isoptericola_variabilis	Actinobacteria
Bacteria__Actinobacteria__Actinobacteria__Propionibacteriales__Nocardioidaceae__Nocardioides__Nocardioides_sp_0714C4_4--HM222686.1.1483	Nocardioides_sp_0714C4_4	Actinobacteria
Bacteria__Actinobacteriota__Actinobacteria__Micrococcales__Dermabacteraceae__Brachybacterium__Brachybacterium_conglomeratum--AB537169.1.1458	Brachybacterium_conglomeratum	Actinobacteriota
Bacteria__Actinobacteriota__Actinobacteria__Micrococcales__Micrococcaceae__Micrococcus__Micrococcus_luteus--AB023371.1.1468	Micrococcus_luteus	Actinobacteriota
Bacteria__Actinobacteriota__Actinobacteria__Micrococcales__Micrococcaceae__Micrococcus__Micrococcus_yunnanensis--FJ214355.1.1426	Micrococcus_yunnanensis	Actinobacteriota
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Flexithrix__Flexithrix_dorotheae--AB681020.1.1448	Flexithrix_dorotheae	Bacteroidetes
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Luteivirga__Marivirga_sericea--AB078082.1.1479	Marivirga_sericea	Bacteroidetes
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Marinoscillum__uncultured_bacterium--EF573486.1.1485	uncultured_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Reichenbachiella__Bacteroidetes_bacterium_O_014--DQ812543.1.1464	Bacteroidetes_bacterium_O_014	Bacteroidetes
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Reichenbachiella__uncultured_Bacteroidetes_bacterium--JQ579830.1.1481	uncultured_Bacteroidetes_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Cryomorphaceae__Fluviicola__uncultured_bacterium--GU584645.1.1390	uncultured_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Cryomorphaceae__NS10_marine_group__uncultured_Flavobacteriia_bacterium--FQ032815.3262.4778	uncultured_Flavobacteriia_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Cryomorphaceae__Owenweeksia__Owenweeksia_hongkongensis--AB125062.1.1482	Owenweeksia_hongkongensis	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Cryomorphaceae__Owenweeksia__uncultured_Bacteroidetes_bacterium--EF016471.1.1478	uncultured_Bacteroidetes_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Chryseobacterium__Chryseobacterium_gleum--AM232812.1.1438	Chryseobacterium_gleum	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Formosa__uncultured_bacterium--EF574301.1.1488	uncultured_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Kordia__Kordia_algicida--AB681152.1.1447	Kordia_algicida	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__NS2b_marine_group__uncultured_Flavobacteriia_bacterium--FN433398.1.1481	uncultured_Flavobacteriia_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__NS4_marine_group__uncultured_Bacteroidetes_bacterium--EF016474.1.1494	uncultured_Bacteroidetes_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__NS5_marine_group__uncultured_marine_bacterium--DQ009115.1.2314	uncultured_marine_bacterium	Bacteroidetes
