accession	taxid
AACE03000034	226302
AADK01036068	7091
AAEC03000009	246410
AAEW02000008	281689
AAMV01000002	314264
AANC01000011	398720
AANZ01000021	314230
AAOT01000021	314256
AAQJ02000001	59196
AATP01000002	314231
AAVU01000018	313612
AAWS01000012	313606
AAXS01000094	443342
AAXU02000001	388413
AB001783	83555
AB002068	40380
AB004717	67574
AB004878	543526
AB006763	64979
AB006767	64972
AB006768	64973
AB008801	196015
AB012591	272240
AB012760	75685
AB013522	45565
AB013555	5493
AB013926	76887
AB016510	432096
AB021400	1336237
AB023371	1270
AB024289	56361
AB032508	104270
AB035416	110479
AB036759	887929
AB039000	102232
AB042288	1747
AB048285	38033
AB049939	139808
AB050206	140246
AB053122	1113728
AB056318	153496
AB063324	163869
AB076559	182262
AB078332	410359
AB079382	869210
AB084253	54
AB087261	153493
AB087264	153491
AB087499	1056495
AB088305	2926
AB089241	203523
AB089482	203699
AB091196	81475
AB097590	215803
AB098511	217169
AB104447	221992
AB109771	334413
AB109889	230310
AB110421	231053
AB159680	261934
AB162774	882090
AB167820	267990
AB176554	270495
AB186359	720554
AB193974	115547
AB200304	77133
AB212873	909663
AB222249	337829
AB231786	340097
AB238922	823
AB243007	359359
AB250414	5518
AB264529	392827
AB273737	158852
AB278130	407844
AB288092	1122599
AB288293	70993
AB289439	418853
AB301717	438855
AB306661	446660
AB370250	762966
AB430339	515351
AB443949	544645
AB450762	551788
AB477223	795797
AB477231	797303
AB477974	797210
AB490811	626939
AB501287	1078846
AB505224	404386
AB517710	985
AB517712	982
AB536782	4909
AB537169	47846
AB538436	1656
AB540984	1525
AB540986	1383
AB547649	28118
AB547652	454155
AB558169	157692
AB586075	882744
AB595128	1547
AB601002	762983
AB626633	309120
AB637319	77133
AB663384	469382
AB663392	485914
AB663400	146826
AB663432	348780
AB663457	123783
AB663467	44930
AB671761	1018
AB681109	187304
AB681768	33074
AB681806	364039
AB729070	33012
AB769482	301092
AB771431	693851
AB802715	115547
AB847982	1285375
AB910748	97477
AB974082	77133
AB974087	77133
ABAV01023297	45351
ABBB01000249	454284
ABCJ01000005	391592
ABCK01000003	313628
ABCS01000069	391625
ABEA03000104	278957
ABEZ02000021	445973
ABGD02000031	445972
ABIL02000005	445971
ABIZ01000001	240016
ABOX02000035	320771
ABRE01017991	554373
ABRK01002815	544712
ABRS01000062	118168
ABTR02000001	469381
ABVF01000122	554155
ABWK02000005	500635
ABXC03002691	4558
ABXJ01000150	445975
ABYT01000002	518637
AC158206	3218
AC213764	4577
ACCK01000460	451640
ACCL02000018	478749
ACCY01000005	565045
ACIJ02000018	626522
ACJH01008033	3068
ACJN02000001	555779
ACZL01000055	679200
ADAR01000191	684364
ADFR01000011	679192
ADGC01001322	703336
ADKI01001867	433727
ADLV01000001	742766
ADVD01001051	461836
ADVG01000004	485913
ADVJ01006144	763924
AE000657	224324
AE000666	187420
AE001437	272562
AE008691	273068
AE009439	190192
AE009950	186497
AE016827	221988
AE017261	263820
AE017263	265311
AEDB02000042	509191
AEGR01000103	887062
AEGW02000009	697282
AEIH02000001	714943
AEIV01000001	584708
AEOP01000025	930946
AEPQ01000257	489825
AEQP01000026	887898
AESD01000223	423471
AEUE01000008	517722
AEWC01041800	4113
AEWF01000006	985867
AEWI01000135	886379
AF001477	292564
AF011346	146938
AF026570	1333625
AF063027	717774
AF071415	81464
AF083072	46770
AF084618	81824
AF093427	765420
AF099062	177439
AF109678	94643
AF114799	103730
AF117776	44056
AF139992	59779
AF149979	5888
AF153206	81100
AF180468	1122218
AF243334	153026
AF244903	137420
AF251436	121039
AF271998	134558
AF285414	151755
AF292375	479437
AF293010	140596
AF313575	39585
AF325186	115547
AF328679	446462
AF330215	174811
AF332514	161156
AF338413	156456
AF349564	192875
AF382399	290397
AF385510	163591
AF399914	125
AF407715	77133
AF408427	12968
AF418180	879212
AF445285	180332
AF513441	197461
AF513979	197183
AF525306	765913
AF529060	203795
AF534573	1231185
AF536764	2371
AF538712	207340
AF548373	209880
AFFP02000054	948565
AFGF01000106	1009370
AFHG01000027	1000565
AFWS02000055	631362
AFWV01000002	768671
AGCO01000001	28892
AGCX01000009	1070774
AGDT01000020	999429
AGEF01000001	883103
AGEJ01000008	999415
AGRF01000040	910450
AGVT01000012	1094714
AGXA01000018	883081
AGYA01000006	883096
AGZE01000005	883112
AGZL01000034	883151
AH015107	338334
AHAL01000301	280463
AHGT01000163	5741
AHKJ01000108	671065
AJ010961	82376
AJ233419	714314
AJ237601	1121399
AJ238041	94136
AJ251215	109327
AJ252143	1111732
AJ277742	124225
AJ278695	419015
AJ278726	395964
AJ294413	184882
AJ295144	141390
AJ298058	665004
AJ306835	256821
AJ307981	572544
AJ310654	153721
AJ312209	138532
AJ315983	169438
AJ318041	160232
AJ344134	169050
AJ431335	187280
AJ438155	1319815
AJ441006	195922
AJ458464	192994
AJ496185	2597657
AJ508270	374178
AJ519986	215690
AJ537466	219182
AJ544077	372780
AJ564616	301148
AJ564773	232288
AJ578476	240237
AJ579914	241555
AJ586107	797114
AJ586337	225985
AJ626894	299567
AJ634662	269673
AJ715385	278991
AJ717299	279813
AJ748748	282199
AJ786600	288436
AJ844281	295419
AJ865863	479430
AJ867049	35833
AJ872268	590168
AJ920289	321318
AJ968697	327852
AJJU01000016	946077
AJKI01000048	1168289
AJKR01000002	1081644
AJLN01000020	211165
AJUG01000002	926559
AJWG01001021	361072
AJYA01000021	1189621
AKGD01000001	1172194
AKKQ01000024	1177931
AKKU01000023	1195246
AL111168	192222
AL596170	272626
AL646053	267608
AL939108	100226
AL954747	228410
ALOE01000052	1202962
ALVO01000007	113355
ALVP01000011	118166
ALVW01000015	221288
ALVZ01000003	102125
AM039978	332953
AM040137	152509
AM114102	351095
AM114193	351160
AM117571	797299
AM162406	360055
AM162407	360056
AM177497	247
AM180252	363253
AM229259	114243
AM230484	1123356
AM259915	86473
AM283465	1385515
AM286423	394098
