accession	taxid	species	genus	family	order	class	phylum	superkingdom	path
ASMQ01000007	743730	Candidatus Aenigmarchaeum subterraneum	Candidatus Aenigmarchaeum	Unclassified Candidatus Aenigmarchaeota	Unclassified Candidatus Aenigmarchaeota	Unclassified Candidatus Aenigmarchaeota	Candidatus Aenigmarchaeota	Archaea	Archaea➤Candidatus Aenigmarchaeota➤Unclassified Candidatus Aenigmarchaeota➤Unclassified Candidatus Aenigmarchaeota➤Unclassified Candidatus Aenigmarchaeota➤Candidatus Aenigmarchaeum➤Candidatus Aenigmarchaeum subterraneum
ASMO01000004	1130284	Candidatus Aenigmarchaeota archaeon JGI 0000106-F11	Unclassified Candidatus Aenigmarchaeota	Unclassified Candidatus Aenigmarchaeota	Unclassified Candidatus Aenigmarchaeota	Unclassified Candidatus Aenigmarchaeota	Candidatus Aenigmarchaeota	Archaea	Archaea➤Candidatus Aenigmarchaeota➤Unclassified Candidatus Aenigmarchaeota➤Unclassified Candidatus Aenigmarchaeota➤Unclassified Candidatus Aenigmarchaeota➤Unclassified Candidatus Aenigmarchaeota➤Candidatus Aenigmarchaeota archaeon JGI 0000106-F11
MNZY01000038	1803514	Candidatus Altiarchaeum sp. CG2_30_32_3053	Candidatus Altiarchaeum	Unclassified Candidatus Altiarchaeales	Candidatus Altiarchaeales	Unclassified Candidatus Altiarchaeota	Candidatus Altiarchaeota	Archaea	Archaea➤Candidatus Altiarchaeota➤Unclassified Candidatus Altiarchaeota➤Candidatus Altiarchaeales➤Unclassified Candidatus Altiarchaeales➤Candidatus Altiarchaeum➤Candidatus Altiarchaeum sp. CG2_30_32_3053
MCBF01000001	1878999	Candidatus Altiarchaeales archaeon IMC4	Unclassified Candidatus Altiarchaeales	Unclassified Candidatus Altiarchaeales	Candidatus Altiarchaeales	Unclassified Candidatus Altiarchaeota	Candidatus Altiarchaeota	Archaea	Archaea➤Candidatus Altiarchaeota➤Unclassified Candidatus Altiarchaeota➤Candidatus Altiarchaeales➤Unclassified Candidatus Altiarchaeales➤Unclassified Candidatus Altiarchaeales➤Candidatus Altiarchaeales archaeon IMC4
AQRS01000026	1104576	Candidatus Iainarchaeum andersonii	Candidatus Iainarchaeum	Unclassified Candidatus Diapherotrites	Unclassified Candidatus Diapherotrites	Unclassified Candidatus Diapherotrites	Candidatus Diapherotrites	Archaea	Archaea➤Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Candidatus Iainarchaeum➤Candidatus Iainarchaeum andersonii
ASMR01000001	1104575	Diapherotrites archaeon SCGC AAA011-K09	Unclassified Candidatus Diapherotrites	Unclassified Candidatus Diapherotrites	Unclassified Candidatus Diapherotrites	Unclassified Candidatus Diapherotrites	Candidatus Diapherotrites	Archaea	Archaea➤Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Diapherotrites archaeon SCGC AAA011-K09
ASMS01000005	743731	Diapherotrites archaeon SCGC AAA011-N19	Unclassified Candidatus Diapherotrites	Unclassified Candidatus Diapherotrites	Unclassified Candidatus Diapherotrites	Unclassified Candidatus Diapherotrites	Candidatus Diapherotrites	Archaea	Archaea➤Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Unclassified Candidatus Diapherotrites➤Diapherotrites archaeon SCGC AAA011-N19
CP000968	374847	Candidatus Korarchaeum cryptofilum	Candidatus Korarchaeum	Unclassified Candidatus Korarchaeota	Unclassified Candidatus Korarchaeota	Unclassified Candidatus Korarchaeota	Candidatus Korarchaeota	Archaea	Archaea➤Candidatus Korarchaeota➤Unclassified Candidatus Korarchaeota➤Unclassified Candidatus Korarchaeota➤Unclassified Candidatus Korarchaeota➤Candidatus Korarchaeum➤Candidatus Korarchaeum cryptofilum
JYIM01000321	1538547	Candidatus Lokiarchaeum sp. GC14_75	Candidatus Lokiarchaeum	Unclassified Candidatus Lokiarchaeota	Unclassified Candidatus Lokiarchaeota	Unclassified Candidatus Lokiarchaeota	Candidatus Lokiarchaeota	Archaea	Archaea➤Candidatus Lokiarchaeota➤Unclassified Candidatus Lokiarchaeota➤Unclassified Candidatus Lokiarchaeota➤Unclassified Candidatus Lokiarchaeota➤Candidatus Lokiarchaeum➤Candidatus Lokiarchaeum sp. GC14_75
CP015363	74969	Ferroplasma acidiphilum	Ferroplasma	Ferroplasmaceae	Thermoplasmatales	Thermoplasmata	Candidatus Thermoplasmatota	Archaea	Archaea➤Candidatus Thermoplasmatota➤Thermoplasmata➤Thermoplasmatales➤Ferroplasmaceae➤Ferroplasma➤Ferroplasma acidiphilum
