otu	accession
AACE03000034.3.1790	AACE03000034
AADK01036068.668.2582	AADK01036068
AAEC03000009.18920.20721	AAEC03000009
AAEW02000008.189409.190966	AAEW02000008
AAMV01000002.66945.68394	AAMV01000002
AANC01000011.208.1734	AANC01000011
AANZ01000021.102759.104249	AANZ01000021
AAOT01000021.1.1840	AAOT01000021
AAQJ02000001.641042.642519	AAQJ02000001
AATP01000002.612461.613920	AATP01000002
AAVU01000018.81300.82792	AAVU01000018
AAWS01000012.387.1834	AAWS01000012
AAXS01000094.4846.6337	AAXS01000094
AAXU02000001.1077624.1079133	AAXU02000001
AB001783.1.1507	AB001783
AB002068.1.1767	AB002068
AB004717.1.1520	AB004717
AB004878.1.1473	AB004878
AB006763.1.1465	AB006763
AB006767.1.1452	AB006767
AB006768.1.1429	AB006768
AB008801.1.1466	AB008801
AB012591.1.1488	AB012591
AB012760.1.1394	AB012760
AB013522.1.1782	AB013522
AB013555.1.1782	AB013555
AB013926.1.1642	AB013926
AB016510.1.1753	AB016510
AB021400.1.1522	AB021400
AB023371.1.1468	AB023371
AB024289.1.1476	AB024289
AB032508.1.1440	AB032508
AB035416.1.1411	AB035416
AB036759.1.1480	AB036759
AB039000.1.1440	AB039000
AB042288.1.1486	AB042288
AB048285.1.1773	AB048285
AB049939.1.1459	AB049939
AB050206.1.1687	AB050206
AB053122.1.1536	AB053122
AB056318.1.1416	AB056318
AB063324.1.1498	AB063324
AB076559.1.1472	AB076559
AB078332.1.1498	AB078332
AB079382.1.1493	AB079382
AB084253.1.1480	AB084253
AB087261.1.1479	AB087261
AB087264.1.1492	AB087264
AB087499.1.1466	AB087499
AB088305.1.1802	AB088305
AB089241.1.1476	AB089241
AB089482.1.1449	AB089482
AB091196.1.1526	AB091196
AB097590.1.1480	AB097590
AB098511.1.1432	AB098511
AB104447.1.1529	AB104447
AB109771.667.2190	AB109771
AB109889.1.1484	AB109889
AB110421.1.1436	AB110421
AB159680.1.1435	AB159680
AB162774.1.1433	AB162774
AB167820.1.1431	AB167820
AB176554.1.1515	AB176554
AB186359.1.1560	AB186359
AB193974.1.1440	AB193974
AB200304.1.1489	AB200304
AB212873.1.1482	AB212873
AB222249.1.1520	AB222249
AB231786.1.1486	AB231786
AB238922.1.1488	AB238922
AB243007.1.1478	AB243007
AB250414.1.1747	AB250414
AB264529.1.1492	AB264529
AB273737.1.1490	AB273737
AB278130.1.1432	AB278130
AB288092.1.1498	AB288092
AB288293.1.1424	AB288293
AB289439.1.1426	AB289439
AB301717.1.1464	AB301717
AB306661.1.1469	AB306661
AB370250.1.1494	AB370250
AB430339.1.1446	AB430339
AB443949.1.1486	AB443949
AB450762.1.1471	AB450762
AB477223.1.1434	AB477223
AB477231.1.1433	AB477231
AB477974.1.1431	AB477974
AB490811.1.1610	AB490811
AB501287.1.1488	AB501287
AB505224.1.1491	AB505224
AB517710.1.1446	AB517710
AB517712.1.1448	AB517712
AB536782.1.1476	AB536782
AB537169.1.1458	AB537169
