node	label
ASMQ01000007.23975.25425	Candidatus Aenigmarchaeum subterraneum
ASMO01000004.23831.25277	Candidatus Aenigmarchaeota archaeon JGI 0000106-F11
MNZY01000038.10559.12029	Candidatus Altiarchaeum sp. CG2_30_32_3053
MCBF01000001.541619.543111	Candidatus Altiarchaeales archaeon IMC4
AQRS01000026.3862.5336	Candidatus Iainarchaeum andersonii
ASMR01000001.18974.20405	Diapherotrites archaeon SCGC AAA011-K09
ASMS01000005.11641.13084	Diapherotrites archaeon SCGC AAA011-N19
CP000968.1326582.1328013	Candidatus Korarchaeum cryptofilum
JYIM01000321.1.1179	Candidatus Lokiarchaeum sp. GC14_75
CP015363.1594125.1595594	Ferroplasma acidiphilum
AE017261.470727.472195	Picrophilus torridus
M38637.979.2449	Thermoplasma acidophilum
CP002916.334433.335897	Thermoplasmatales archaeon BRNA1
CP001742.176279.177775	Acidilobus saccharovorans
AYMB01000008.96097.97593	uncultured Acidilobus sp. CIS
AB087499.1.1466	Caldisphaera lagunensis
CP003321.1081655.1083145	Desulfurococcus amylolyticus
CP000816.728379.729800	Ignicoccus hospitalis
CP002098.1279164.1280671	Ignisphaera aggregans
CP002051.1270431.1271941	Staphylothermus hellenicus
CP003531.422343.423841	Thermogladius calderae
CP001939.52824.54320	Thermosphaera aggregans
JF509453.1.1510	Desulfurococcaceae archaeon CSC-16S
CP013011.538908.540404	Pyrodictium delaneyi
CP003423.1068522.1070023	Fervidicoccus fontis
CP002535.1296061.1297559	Acidianus hospitalis
ASRH01000005.110739.112232	Candidatus Aramenus sulfurataquae
CP000682.1705274.1706771	Metallosphaera sedula
AHKJ01000108.121469.122953	Metallosphaera yellowstonensis
LT549890.891113.892713	Saccharolobus solfataricus
APJY01000001.782068.783547	Sulfolobales archaeon Acd1
X14835.987.2495	Thermofilum pendens
AB013926.1.1642	Caldivirga maquilingensis
AB078332.1.1498	Pyrobaculum calidifontis
CP001014.690421.692612	Pyrobaculum neutrophilum
CP002590.1330555.1332075	Thermoproteus uzoniensis
CP002100.631480.632991	Vulcanisaeta distributa
AQYM01000016.22627.24108	Crenarchaeota archaeon SCGC AAA471-B05
AQVF01000003.15755.17233	crenarchaeote SCGC AAA261-C22
EU240001.1.902	uncultured crenarchaeote
HM448141.1.1385	uncultured crenarchaeote
CP006577.1951165.1952544	Archaeoglobus fulgidus
CP001899.1403988.1405498	Ferroglobus placidus
LQMP01000030.68979.70454	Hadesarchaea archaeon YNP_N21
DQ854818.1.1472	Haloarcula amylolytica
AB663392.1.1473	Halomicrobium mukohataei
AB663400.1.1472	Halorhabdus utahensis
AJ586107.1.1473	Halosimplex carlsbadense
AB663432.1.1467	Natronomonas pharaonis
AQXI01000001.2128739.2130197	Haladaptatus paucihalophilus
AB477223.1.1434	Halalkalicoccus jeotgali
AJ496185.1.1473	Halobacterium salinarum
AB663384.1.1472	Halogeometricum borinquense
AB771431.1.1473	Halogranum salarium
JN206648.1.1471	Haloplanus natans
FR746099.1835281.1836752	Haloquadratum walsbyi
JF421969.1.1473	Halohasta litchfieldiae
AGCX01000009.4054.5511	Halonotius sp. J07HN4
JF979130.1.1440	Halopenitus persicus
CP001366.161307.162776	Halorubrum lacusprofundi
CP002988.2130478.2131950	halophilic archaeon DL31
AB477974.1.1431	Halopiger xanaduensis
AM117571.1.1372	Halostagnicola larsenii
AB004878.1.1473	Haloterrigena turkmenica
AM039978.1.1378	Halovivax asiaticus
AB663457.1.1472	Natrialba hulunbeirensis
AB477231.1.1433	Natrinema pellirubrum
AB663467.1.1472	Natronobacterium gregoryi
KP861849.1.1430	Natronococcus occultus
CP005962.1165754.1167224	Salinarchaeum sp. Harcht-Bsk1
CP002772.812691.814171	Methanobacterium paludis
CP000678.333483.334957	Methanobrevibacter smithii
CP000102.408655.410144	Methanosphaera stadtmanae
AE000666.1718787.1720265	Methanothermobacter thermautotrophicus
