otu	accession	taxid	species	genus	family	order	class	phylum	superkingdom	path
AACE03000034.3.1790	AACE03000034	226302	Lachancea kluyveri	Lachancea	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Saccharomycetes➤Saccharomycetales➤Saccharomycetaceae➤Lachancea➤Lachancea kluyveri
AADK01036068.668.2582	AADK01036068	7091	Bombyx mori	Bombyx	Bombycidae	Lepidoptera	Insecta	Arthropoda	Eukaryota	Eukaryota➤Arthropoda➤Insecta➤Lepidoptera➤Bombycidae➤Bombyx➤Bombyx mori
AAEC03000009.18920.20721	AAEC03000009	246410	Coccidioides immitis	Coccidioides	Onygenaceae	Onygenales	Eurotiomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Eurotiomycetes➤Onygenales➤Onygenaceae➤Coccidioides➤Coccidioides immitis
AAEW02000008.189409.190966	AAEW02000008	281689	Desulfuromonas acetoxidans	Desulfuromonas	Desulfuromonadaceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Deltaproteobacteria➤Desulfuromonadales➤Desulfuromonadaceae➤Desulfuromonas➤Desulfuromonas acetoxidans
AAMV01000002.66945.68394	AAMV01000002	314264	Roseovarius sp. 217	Roseovarius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Roseovarius➤Roseovarius sp. 217
AANC01000011.208.1734	AANC01000011	398720	Leeuwenhoekiella blandensis	Leeuwenhoekiella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Flavobacteriia➤Flavobacteriales➤Flavobacteriaceae➤Leeuwenhoekiella➤Leeuwenhoekiella blandensis
AANZ01000021.102759.104249	AANZ01000021	314230	Blastopirellula marina	Blastopirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	Bacteria➤Planctomycetes➤Planctomycetia➤Pirellulales➤Pirellulaceae➤Blastopirellula➤Blastopirellula marina
AAOT01000021.1.1840	AAOT01000021	314256	Oceanicola granulosus	Oceanicola	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Oceanicola➤Oceanicola granulosus
AAQJ02000001.641042.642519	AAQJ02000001	59196	Rickettsiella grylli	Rickettsiella	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Legionellales➤Coxiellaceae➤Rickettsiella➤Rickettsiella grylli
AATP01000002.612461.613920	AATP01000002	314231	Fulvimarina pelagi	Fulvimarina	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Aurantimonadaceae➤Fulvimarina➤Fulvimarina pelagi
AAVU01000018.81300.82792	AAVU01000018	313612	Lyngbya sp. PCC 8106	Lyngbya	Oscillatoriaceae	Oscillatoriales	Unclassified Cyanobacteria	Cyanobacteria	Bacteria	Bacteria➤Cyanobacteria➤Unclassified Cyanobacteria➤Oscillatoriales➤Oscillatoriaceae➤Lyngbya➤Lyngbya sp. PCC 8106
AAWS01000012.387.1834	AAWS01000012	313606	Microscilla marina	Microscilla	Microscillaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Cytophagia➤Cytophagales➤Microscillaceae➤Microscilla➤Microscilla marina
AAXS01000094.4846.6337	AAXS01000094	443342	candidate division TM7 genomosp. GTL1	Unclassified Candidatus Saccharibacteria	Unclassified Candidatus Saccharibacteria	Unclassified Candidatus Saccharibacteria	Unclassified Candidatus Saccharibacteria	Candidatus Saccharibacteria	Bacteria	Bacteria➤Candidatus Saccharibacteria➤Unclassified Candidatus Saccharibacteria➤Unclassified Candidatus Saccharibacteria➤Unclassified Candidatus Saccharibacteria➤Unclassified Candidatus Saccharibacteria➤candidate division TM7 genomosp. GTL1
AAXU02000001.1077624.1079133	AAXU02000001	388413	Algoriphagus machipongonensis	Algoriphagus	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Cytophagia➤Cytophagales➤Cyclobacteriaceae➤Algoriphagus➤Algoriphagus machipongonensis
